,0
495,ESPR
496,ESQ
497,ESSA
498,ESNT
499,EPRT
500,WTRG
501,ESS
502,EL
503,ETH
504,ETON
505,ETSY
506,EEFT
507,EVBN
508,EVLO
509,EB
510,EVBG
511,EVR
512,RE
513,EVRG
514,EVRI
515,EVER
516,ES
517,EVTC
518,EVI
519,EVOP
520,EVFM
521,EVH
522,EOLS
523,EPM
524,AQUA
525,EXAS
526,XGN
527,EXEL
528,EXC
529,XCUR
530,EXLS
531,XONE
532,EXPI
533,EXPE
534,EXPD
535,EXPO
536,EXPR
537,STAY
538,FCF
539,FFBC
540,THFF
541,FFIN
542,FFWM
543,FGBI
544,FHB
545,FHN
546,FR
547,INBK
548,FIBK
549,FLIC
550,FRME
551,FMBH
552,FMBI
553,FNWB
554,FRC
555,FSFG
556,FSLR
557,FUNC
558,MYFW
559,FCFS
560,FE
561,FISV
562,FIT
563,FIVE
564,FPRX
565,FVE
566,FIVN
567,FBC
568,FLT
569,FLXN
570,FLIR
571,FND
572,FLO
573,FLS
574,FLNT
575,FLDM
576,FLR
577,FFIC
578,FMC
579,FNB
580,FNCB
581,FNF
582,FOCS
583,FONR
584,FL
585,F
586,FSCT
587,GME
588,GLPI
589,GAN
590,GCI
591,GPS
592,GRMN
593,IT
594,GTES
595,GATX
596,GLIBA
597,GCP
598,GNSS
599,GNK
600,GENC
601,GNRC
602,GD
603,GE
604,GFN
605,GIS
606,GM
607,GCO
608,GNE
609,GNMK
610,G
611,GNPX
612,GNTX
613,THRM
614,GPC
615,GNW
616,GEO
617,GABC
618,GERN
619,GTY
620,ROCK
621,GILD
622,GBCI
623,GOOD
624,LAND
625,GLT
626,GKOS
627,GBT
628,GBLI
629,GMRE
630,GNL
631,GPN
632,GWRS
633,GSB
634,GLOB
635,GL
636,GRPN
637,GRWG
638,GRUB
639,GSIT
640,GTT
641,GTYH
642,GNTY
643,GH
644,GES
645,GWRE
646,GPOR
647,GWGH
648,HEES
649,HCKT
650,HAE
651,HAIN
652,HAL
653,HALO
654,HBB
655,HLNE
656,HWC
657,HBI
658,HNGR
659,HAFC
660,HASI
661,THG
662,HONE
663,HOG
664,HLIT
665,HARP
666,HROW
667,HSC
668,HIG
669,HBIO
670,HAS
671,HVT
672,HE
673,HA
674,HWKN
675,HWBK
676,HAYN
677,FUL
678,HBT
679,HCHC
680,HCA
681,HCI
682,HDS
683,HCAT
684,HR
685,HTBI
686,FIXX
687,HON
688,HOFT
689,HOOK
690,HOPE
691,HMN
692,HBNC
693,HZNP
694,HRL
695,HST
696,TWNK
697,HMHC
698,HLI
699,HBMD
700,HHC
701,HWM
702,HPQ
703,HUBG
704,HUBB
705,HUBS
706,HUD
707,HPP
708,HUM
